id,lpsa
1,0.8749536509107503
2,0.6267995793101269
3,1.0493713797885502
4,0.5012234162930895
5,1.6720684128140675
6,0.5935255425015491
7,2.0784218930281764
8,2.243121128541925
9,0.7571677392086986
10,1.3557501294633916
11,1.3746108567519917
12,0.9655288802498692
13,2.2369545890712335
14,2.1398382647716314
15,1.7946159956066081
16,2.144949599514713
17,1.5673319607515563
18,2.255939083553639
19,0.8855517786004261
20,1.9624066065040964
21,1.909176567943562
22,2.657920115823286
23,1.017808024648297
24,2.5755262931202427
25,2.0717261762636725
26,2.438094709543934
27,1.8825605855390284
28,1.7793435384845198
29,2.436370042918109
30,2.089623878625172
31,1.9746367937891456
32,1.9720497509331878
33,2.53578766857932
34,1.228094594637156
35,1.1036028909262632
36,2.776277043323374
37,1.7584768077953912
38,1.5958624589692063
39,3.860267935438705
40,1.98009323171956
41,2.1261495620610473
42,2.1522493572384076
43,2.0304670788108825
44,1.902239937052602
45,2.712162206855539
46,2.733176858500301
47,4.2799891754061345
48,2.6445311807298655
49,2.26743362680135
50,2.412750776890811
51,2.2087225275868403
52,2.933301085140467
53,2.3171982721457187
54,2.8731653888955098
55,3.143715493825732
56,2.807876774262223
57,1.4710752060656143
58,2.0821723294155157
59,2.0581862723534194
60,2.6795563864317145
61,2.265617695571938
62,3.5324238831420356
63,2.952793801500883
64,3.730044238961881
65,2.4635075057875704
66,2.607076047059518
67,3.037922987094539
68,3.1878016417923343
69,0.9549093890052909
70,2.627377535879342
71,3.0751575134488345
72,2.73307245158151
73,2.6305368071116493
74,3.665380201280091
75,3.376130366574789
76,3.8397081051792674
77,3.191597621453254
78,3.5777694290970854
79,3.369663067446663
80,2.882677530086044
81,2.4625660112193786
82,2.793927935310275
83,3.6478223806904415
84,3.2096110504766417
85,2.575546608852718
86,3.7441819067380124
87,3.061293349476041
88,2.991772375311309
89,3.4214898997490693
90,3.5735074330004215
91,3.166065835311759
92,4.261335223155336
93,3.6536900201063967
94,3.9516230328775337
95,3.1485143662237536
96,4.383213164877093
97,3.8470150256816336
